conversation_id,customer_tweet_id,support_tweet_id,created_at,customer_message,support_reply,char_length_customer,char_length_reply
UBER_0021,378377,378376,Mon Oct 09 04:58:22 +0000 2017,You should be able to cancel free of charge when the driver is 3x longer than ETA,"Here to help! Send us a note here, and our team will follow up.",81,63
UBER_0022,104068,104067,Thu Nov 30 18:05:22 +0000 2017,My girlfriend and I have been having nothing but problems with you guys. Have $100 in gift cards that we aren't able to use. Keep getting error messages and its a brand new account. Have messaged support 3 times with no response. SOS,We can definitely take a look! Send us a DM (Direct Message) with your email address and details so we can follow up.,233,117
UBER_0023,353676,353673,Sun Oct 08 13:48:16 +0000 2017,This was last Friday and you return 25 percent credit whereas I should have received full refund for a ride which never happened,Sorry to hear about what happened. Kindly send us a note here; and our team will connect right away.,128,100
UBER_0024,359332,359329,Sun Oct 08 16:04:21 +0000 2017,fix your support center. I was charged a cancellation fee of $35 and there was a trip when I didn't take one.,Let's take a closer look! Send us a note via so our team can follow up.,109,71
UBER_0025,443113,443112,Wed Nov 22 09:08:31 +0000 2017,Your drivers are getting worse by the day. Taking ridiculously long routes on purpose is not the 'good service' you claim to offer.,Here to help! Send us a note at so our team can connect.,131,56
UBER_0026,181596,181595,Sat Nov 25 01:36:02 +0000 2017,"Love it when you order , the restaurant screw up your order and when you call the restaurant they tell you you shouldn’t have gone through before hanging up on you...",Here to help! Send us a note via so we can connect.,166,51
UBER_0027,332506,332505,Sat Oct 07 18:11:48 +0000 2017,Is a real person running your support team? Because I seem to get the same message everytime I get an email. No real solution.,We've been in touch via DM!,126,27
UBER_0028,97619,97620,Thu Nov 30 19:14:15 +0000 2017,"...so I just got the notification for a ""route pass"". Im pissed. What happened to the Ride passes?",Please DM us your Uber account email address so we can follow up.,98,65
UBER_0029,362104,362102,Sun Oct 08 16:00:02 +0000 2017,I travelled in Uber from Bengaluru airport yesterday. I need a receipt for my trip. My contact number is 9342536551.,"Hello, Narendra. We've gone ahead and followed up with you via DM regarding this matter.",116,88
UBER_0030,154565,154564,Fri Nov 24 16:24:28 +0000 2017,Hi. I have three random $1 charges from uber in my PayPal account. What are these for?,Sorry to hear about that. Can you please send us a DM with your email address? From there we'll be able to assist further.,86,122
UBER_0031,390502,390501,Mon Oct 09 15:30:55 +0000 2017,And why did I get charged before my ride even came to my location,We can definitely take a look. Kindly send us a note here; so our team can assist you.,65,86
UBER_0032,125853,125855,Fri Nov 24 03:03:10 +0000 2017,Or if you guys not able to resolve suggest me to leave uber servicee,"Thanks for getting back to us. We are unable to provide you with an ETA for a response. Reports are dressed in the order that they arrive. As soon as a response is sent out, you will receive and email notification as well.",68,222
UBER_0033,407579,407577,Mon Oct 09 21:03:02 +0000 2017,"diver cancels right outside my work no call, I call the support & basically get a ""sorry nothing we can do"" #poorservice #hungry",We'd like to follow up on this. Please send us a DM with your UberEATS account email address and phone number.,128,110
UBER_0034,314084,314082,Sat Oct 07 06:01:13 +0000 2017,can I get a cancelation fee refunded? I was just watching this lady turn the wrong way over and over dropping off someone before me,We can definitely take a closer look! Contact us here; so we can help.,131,70
UBER_0035,349276,349277,Sun Oct 08 08:42:56 +0000 2017,What about kindly checking your inbox? The details are all in there. It wouldn’t spend more of your time would it?,"We have responded to your DM, please let us know if you need anything else.",114,75
UBER_0036,231217,242252,Thu Oct 05 11:55:35 +0000 2017,you can check through the message sent to see the picture of what i see if i try to open the app,We've sent you an email. Please respond with the requested information so we can follow up.,96,91
UBER_0037,338209,338207,Sat Oct 07 22:28:32 +0000 2017,This uber driver is the worse...omg!!! Lord please get us to Brooklyn safely!! #Uber,We can definitely follow up! Send us a note here; so our team can connect.,84,74
UBER_0038,392695,392694,Sun Oct 08 02:35:43 +0000 2017,"Currently experiencing the most uncomfortable ride ever! I’d cancel my ride, but we’re stuck in traffic on a highway! Ugh",Sorry for the delay. Let's get another pair of eyes on your support request. Please send us a DM with your Uber account email address.,121,134
UBER_0039,349999,349997,Sun Oct 08 09:29:45 +0000 2017,".I've been charged double, 806,the normal fare for my trip t'day Whereas estimated fare was 498.Toll charged thrice? Need explanation.",Here to help! Send us a note via and we'll be in touch.,134,55
UBER_0040,37684,37683,Wed Nov 01 14:18:55 +0000 2017,I have disputed my background check and now its clear. Would you please approve my profile.,We're here to help! Please send us a note here; so our team can connect.,91,72
UBER_0041,184860,184857,Mon Oct 16 15:42:48 +0000 2017,Hello . I want to email the company in America for its importance. Thankyo,"Happy to help! To better assist you, please reach out here: and it will be routed to the appropriate department.",74,112
UBER_0042,299768,299766,Fri Oct 06 19:55:26 +0000 2017,Is there a way to get a trip receipt as a one page PDF?,Hey Cameron! Please visit the link for more info on retrieving trip receipts,55,76
UBER_0043,482428,482427,Fri Dec 01 14:05:24 +0000 2017,you serious with this pool pickup? Your service is becoming worse every day.,Happy to help! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,76,97
UBER_0044,141508,141507,Fri Nov 24 12:12:02 +0000 2017,help me out here! Black Friday waiting in line and just need some food/coffee but csnt lose my place in line! I'm in the zone but you won't feed me. #HelpMeOut #BlackFriday2017 #GROWL #Please,We're here to help. Send us a DM with your email address so we can connect right away.,191,86
UBER_0045,150080,150081,Fri Nov 24 16:32:56 +0000 2017,Hi no revert yet!! Hope you have woken up!,"Sorry for the delay, Sakshi. Our team is reviewing your email now and will be in touch. We appreciate your patience!",42,116
UBER_0046,277529,277528,Mon Oct 30 18:59:32 +0000 2017,Why does the driver always have a different address from the one I entered???,"We're here to help, Caroline. Contact us via so we can assist.",77,62
UBER_0047,2125,2124,Fri Dec 01 04:25:43 +0000 2017,"After contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. Please help",Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.,139,87
UBER_0048,462610,462609,Fri Dec 01 02:17:54 +0000 2017,we should be able to pay outstanding balance for a previous trip directly in the app - shouldn't have to simulate another trip just to get the balance displayed. Rather convoluted design.,Here to help! Send us a note at so our team can connect right away.,187,67
UBER_0049,73694,73693,Thu Nov 30 10:38:51 +0000 2017,Why would you allow the source and destination to be same? I think the customer should be flagged if such selection is made.,Hi there! Please reach out to and fill out the boxes at the bottom so we can get in touch.,124,90
UBER_0050,102125,102126,Thu Nov 30 21:37:31 +0000 2017,Do you have to have an account to ask questions?,"Hey, there! You don't need an account to ask us questions, however, you either need to reach us through our in-app support portal or DM us so we can provide you the best answer's possible. Thank's for understanding.",48,215
UBER_0051,306999,306998,Fri Oct 06 21:56:54 +0000 2017,was trying to pay from PayPal. Uber ac locked. Pls unlck my ac. Last ride from Mexico City pH: +52 (55) 3145 2800,Thanks for reaching out to us about this. Please reach out to us directly using this link and leave a brief note.,113,113
UBER_0052,466763,467580,Fri Dec 01 05:33:12 +0000 2017,There are no such options in you app based customer support...I don't know why u guys even call it a support where as UBER is not at all customer friendly...,We're here to help! Send us a DM with your email address so we can follow up.,157,77
UBER_0053,274509,274508,Fri Oct 06 05:41:23 +0000 2017,Watched and waited as my driver circled around the same block for 10 minutes Had to cancel the ride which cost me $2....,Sorry to hear about the trouble! Please send us a message at with the details and we'll follow up.,120,98
UBER_0054,255932,255931,Thu Oct 05 16:00:09 +0000 2017,So charges 15$ to return a lost item!? You guys are fucking greedy man.,"Drivers are independent contractors and this is to compensate them for their time. The entire fee is passed on to the driver, not Uber.",71,135
UBER_0055,482447,482446,Fri Dec 01 14:02:08 +0000 2017,"I only took one ride with an Uber last night, but my online banking shows I was charged for two rides. I was charged $13.76 for the ride I took and an additional $8.40. I only received an email receipt for the $13.76 ride. Can you please advise?",Here to help! Send us a note via so our team can connect.,245,57
UBER_0056,443150,443149,Sun Nov 19 16:58:14 +0000 2017,"Thanks for you prompt action but Still I am unable to login. When I am clicking the right arrow for agreeing the terms and conditions, the app is bringing me back to the name page.The same thing is getting repeated again and again.Screen shot has been attached. Please help me.",A member of our team responded to your in-app support inquiry. Please follow up with us there if you have any additional questions. You can view your in-app support messages through your Uber account email address. Be sure to check your spam and junk folders if necessary.,277,272
UBER_0057,137769,137768,Fri Nov 24 10:15:50 +0000 2017,; ; Pathetic service by Uber. Amount deducted from PAYTM and cash was also collected by Driver. Uber is not ready to acknolwedge the error and reimburse the double payment. They want to avoid the situation and are not responding at all,We can take a look! Send us a DM with your email address so we can follow up.,235,77
UBER_0058,332872,332874,Sun Oct 08 08:26:45 +0000 2017,It’s no good crediting my account with £4 as I don’t live in a major city n i wouldn’t trust Uber again !!,We apologize for the trouble! Please DM us your email address and we'll follow up.,106,82
UBER_0059,114582,114577,Thu Nov 23 21:05:13 +0000 2017,how does Uber define a long pickup?,Happy to help! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,35,97
UBER_0060,74880,74878,Thu Nov 30 11:07:48 +0000 2017,Very upsetting that this company does not provide refunds for terrible fares. Very unacceptable...,We're here to help! Send us a DM (direct message) with your email address so we can connect.,98,92
UBER_0061,151575,151573,Fri Nov 24 15:47:33 +0000 2017,"Hi Uber, I slept thru my scheduled ride today. The driver cancelled, but I'd like to tip him. How can I do that?",Will you please DM us with your email address associated with your account? We'll look into it.,112,95
UBER_0062,107788,107787,Thu Nov 23 18:43:01 +0000 2017,"Still wondering if anybody from Uber is going to help me to recover my medical files. Looking at the way is responding/not responding, it feels they don’t care for whatever happens after they have collected money from the customer. Long way to go","We've followed up within your Direct Messages, Alok!",246,52
UBER_0063,481058,481056,Fri Dec 01 13:35:50 +0000 2017,"Instd of arvng at correct spot & phoning me 2 tell me of hs arvl, ur driver chooses 2 wait OUTSIDE hotel. Claims tht I ws not answrng my phone {absurd} sys tht he wil come into hotel, thn drives off. Hs nerve 2 chrge me fr a ride I didnt cancel! I demand a refundonprinciple","That's not ok, Priya. Contact us via so we can assist you.",274,58
UBER_0064,165868,165867,Fri Nov 24 20:07:41 +0000 2017,Took to ORD today....driver charged me for his mileage back downtown after he dropped me off. Is this standard policy?,"We apologize for the trouble! Send us a note here, and our team will be in touch.",118,81
UBER_0065,376066,376065,Mon Oct 09 02:27:52 +0000 2017,how do you manage to outdo the last bad experience! & For my simple but for me imp matter u cudnt help #failure,We've been in touch via DM!,111,27
UBER_0066,450049,450048,Thu Nov 30 21:10:15 +0000 2017,My drivers phone completely froze so I had to direct him. I finished my ride but his phone was restarting when I left. I better not be charged more.,Happy to take a look! Send us a note via so our team can connect.,148,65
UBER_0067,361788,361787,Sun Oct 08 13:01:26 +0000 2017,and also putting cheese in a burger and someone is severely allergic to dairy. Wow,"Hi, Lisa. We'll be following up via DM shortly.",82,47
UBER_0068,394106,394105,Mon Oct 09 15:36:44 +0000 2017,"Forgot glasses, the driver called to give them back and one week after he doesn't want to. Is it this kind of service you providing ?",So sorry about the trouble! Please send us a DM with your email address so we can connect.,133,90
UBER_0069,415786,415784,Tue Oct 10 02:22:20 +0000 2017,"Driver picked up someone else, took them to the East Bay (how?) charged it to me - while leaving me waiting like a dick. Thoughts?",Here to help! Send us a note via and we'll be in touch.,130,55
UBER_0070,176072,176071,Sat Nov 25 00:02:07 +0000 2017,such unprofessional drivers you hire! The worst service I have ever had in recent times. Your driver was unprofessional and inturn I had to shell out money for it! Shame on you!,Here to help! Kindly send us a note at; so our team can assist.,177,63
UBER_0071,2438,2437,Sun Nov 26 00:13:30 +0000 2017,"awful customer service, why bother trying to contact the head office?","Hi, Jenny! Kindly send us details regarding your concern so our team can assist.",69,80
UBER_0072,127184,127185,Fri Nov 24 04:04:14 +0000 2017,I've provided a complain. Now please take action.,We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,49,95
UBER_0073,482430,482432,Fri Dec 01 14:38:22 +0000 2017,"Lol thanks but I meant the usage zone , I’m able to purchase it, but I can’t use it for my standard route because the usage area is like a foot away from my house","Sorry for the confusion. If you're reside that close to the Ride Pass zone, you can change the address (pickup/drop off) within the app. To confirm, you will see the upfront fare of the ride pass. For information how to change location, please visit",162,249
UBER_0074,378713,378711,Mon Oct 09 05:34:59 +0000 2017,"so i get locked out of my account with no notification, HOW THE FUCK AM I SUPPOSE TO DO ANYTHING.","Here to help! Send us a note here, and our team will follow up.",97,63
UBER_0075,332528,332530,Sat Oct 07 19:13:05 +0000 2017,follow back so I can DM,Happy to help! Please send us a DM with your account email address + details and we'll be in touch.,23,99
UBER_0076,390492,390490,Mon Oct 09 14:54:18 +0000 2017,Wow really glad I got a timely response. Thank you.,"Hey Chris, send us a DM with your email and phone number to connect.",51,68
UBER_0077,448808,448806,Thu Nov 30 20:53:05 +0000 2017,cannot upload documents. No help email address for uber,Hi there! Please visit; for more info. Please let us know if you have any other questions or concerns.,55,102
UBER_0078,102159,102158,Thu Nov 30 17:33:05 +0000 2017,How can I merge two emails which belong to two accounts to one account?,Here to help! Send us a note via and we'll be in touch.,71,55
UBER_0079,70646,70645,Thu Nov 30 09:35:28 +0000 2017,just charged £5 by you for a driver that sat 1 mile from the pick up point and wouldn't move #unhappy #takeablackcab #refundplease,We're here to help! Please send us a note via so we can assist.,130,63
UBER_0080,321242,321240,Sat Oct 07 12:45:42 +0000 2017,you driver asked me for toll bills. Can you have a look.,"We'll be happy to review this, Anush! Please reach out at and we'll take a look.",56,80
UBER_0081,80887,80890,Thu Nov 30 13:43:48 +0000 2017,"I took a video of the driver surfing FB but don't want to post it here in public. Will send it to you thru the Uber app. Obviously you have work to do in training your drivers on traffic rules, safety and service!",Oh no! Sorry to hear that. Please send us a note in the app or by visiting us at We'll make sure to review this trip carefully and take appropriate action.,213,155
UBER_0082,344159,344161,Sun Oct 08 01:32:20 +0000 2017,I've sent a time-stamped photo of the license plate & location of this driver. You have my info. What else do you want? #visionzero,"Here to help, Will. A member of our team has followed up via DM.",131,64
UBER_0083,391766,391765,Mon Oct 09 16:14:38 +0000 2017,: My wife was harassed this morning by your driver. She was asked to leave the cab in the middle road on her way to work,"That's not okay, Mohit! Please have the account holder reach out to us at so we can follow up asap.",120,99
UBER_0084,219882,219881,Thu Oct 05 01:26:45 +0000 2017,I am still not getting any support I would really appreciate a refund for the food I never received,Let's take a further look into this. Please send us a DM with your email and phone number linked to your account.,99,113
UBER_0085,181594,181592,Sat Nov 25 01:34:17 +0000 2017,"I commented that my last TWO UberEATS orders were cancelled. said ""reach out in a DM, we will help..."" Their reply (summarising): ""sometimes we're busy and can't deliver your order."" This is NOT customer service! Act like you CARE, Uber!","Hi there! It appears that our team has followed up with you via email regarding this matter. If you have further questions or concerns, please reply to the email thread. We apologize for any inconvenience this may be causing you and appreciate your continued patience.",237,268
UBER_0086,409728,412371,Mon Oct 09 23:17:38 +0000 2017,The ride doesnt appear on the app to report because he cancelled the trip but I have screen shots.,We're here to help. We just sent you a DM.,98,42
UBER_0087,97655,97654,Thu Nov 30 16:26:11 +0000 2017,"Charged £100 cleaning fee for a mess we didn’t make 12 hours after our journey, no evidence to prove it was us shows pics which could be anything by anyone. complete bullshit replied with blatant PR automatic responses. Probably just a scam from the driver",We apologize for the trouble! Send us a DM with your email address and we'll connect.,256,85
UBER_0088,16484,16482,Wed Nov 01 03:53:34 +0000 2017,is the fuckin shittiest app that exists. I have ordered 5 Uber's tonight and they have all ignored my trip and charged me $5. Fuck you,Here to help! Please send us a note at and we'll be happy to look into this for you.,134,84
UBER_0089,53642,53641,Wed Nov 01 17:46:40 +0000 2017,hey i need a ride pass please thanks,We've followed up via DM. Please check your messages for an update.,36,67
UBER_0090,377799,377800,Mon Oct 09 12:37:51 +0000 2017,You call this a response? I see this as refusal to help a customer you troubled early on a working day. Horrible service.,"Hi, Rajat. A member of our team has been in touch via email, please check your inbox and follow up there directly.",121,114
UBER_0091,19534,19533,Wed Nov 01 06:39:25 +0000 2017,keeps getting my order wrong and there is no number to call customer service? #terrible I won't use this service again.,"Sorry for the trouble! Send us a note here, and our team will be in touch.",119,74
UBER_0092,426765,426764,Tue Oct 10 11:30:04 +0000 2017,Please help me with my Business travel report for June July & Aug. I haven't received for this duration. Thanks,"Sorry to hear about the troubles, Anuj. Please send us a note at so we can look into this for you.",111,98
UBER_0093,341047,341049,Sun Oct 08 02:41:39 +0000 2017,"I Dm you, wasn’t tryna seem like a bitch it was just extra inconvenient that I had places to be and couldn’t get there with your services.","We're following up with you via DM, be on the look out for our response.",138,72
UBER_0094,460134,460131,Fri Dec 01 01:31:35 +0000 2017,I’m about to pack up my appetite and go Netflix & grill with .This last customer service exchange was trash...,We're here to help! Send us a DM with your email address and more details so we can follow up.,110,94
UBER_0095,164282,164281,Fri Nov 24 19:49:42 +0000 2017,how do I get in contact with the exchange program to get a vehicle??,Here to help! Send us a note via and we'll be in touch.,68,55
UBER_0096,273407,273405,Tue Sep 26 07:53:11 +0000 2017,No one contacted me till now....and also I am not able to ride using app .,"A member of our team has been in touch via email, so please check your inbox and follow up there directly",74,105
UBER_0097,106193,106192,Thu Nov 30 18:52:46 +0000 2017,Hey is ok for your drivers to drive double the speed limit in 30mph zones?! Is it also ok for them to text when driving and take calls about cooking dinner? Always been a defender of your company but that drive just shattered your reputation,"Here to help! Send us a note here, and our team will follow up.",241,63
UBER_0098,176045,176044,Sat Nov 25 00:22:29 +0000 2017,. shh I don't think we're allowed to talk to you... I'm sorry 😔,Happy to help! Please confirm your email address or phone number through direct message so we can further assist.,63,113
UBER_0099,162890,162889,Fri Nov 24 19:09:22 +0000 2017,To take advantage of people who are just trying to get away from danger is poor business all round. Shameful.,We're here to help! Please send us a note via so we can connect.,109,64
UBER_0100,414654,414653,Wed Oct 25 19:03:22 +0000 2017,Drivers that just pretend to pick you up and essentially steal your money should be fired,"Happy to help, Thomas. Please go here so we can follow up.",89,58
UBER_0101,57020,57022,Wed Nov 01 19:53:18 +0000 2017,I would love to but 'The email cannot be recognized by Uber.' Absolutely useless,"Hi, Maddy. Our team has sent supporting information to your email address, please check all your folders to see our reply.",80,122
UBER_0102,364108,364107,Sun Oct 08 19:06:47 +0000 2017,My uber driver gave me a joint this morning and then almost swerved into the car next to us,We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,91,106
UBER_0103,148308,148307,Fri Nov 24 14:49:05 +0000 2017,why can’t your drivers follow directions,Here to help! Send us a note via so our team can get in touch.,40,62
UBER_0104,319204,319203,Sat Oct 07 11:04:43 +0000 2017,"Hello I’ve sent you a PM please reply ASAP, thank you",We've followed up via DM so please check your inbox.,53,52
UBER_0105,496079,496078,Fri Dec 01 18:14:56 +0000 2017,Yo what’s with this $300 charge? I needed an Uber and this Uber driver never even showed to pick me up? How am I getting charged for 1. A ride I never took & 2. A mess I couldn’t have made. Tried to make a simple correction and then y’all charged me more??,"We apologize for the trouble! Send us a note here, and our team will be in touch.",256,81
UBER_0106,349282,349281,Sun Oct 08 08:18:10 +0000 2017,"Pathetic Map and locations, location was not showing where it actually is n it costed me double than it was showing.",Here to help! Send us a note via so our team can assist.,116,56
UBER_0107,445706,445708,Wed Nov 22 10:26:08 +0000 2017,"Thanks, I've sent a DM to you.","We've replied to your DM, please check your inbox for a follow up.",30,66
UBER_0108,468900,468899,Fri Dec 01 06:50:55 +0000 2017,Why is it when you book an the app says 7 minutes but the driver comes in 20 minutes with no fuel in his car. Thanks for making me late,"We can definitely take a closer look! Contact us here; , so we can help.",135,72
UBER_0109,508772,508771,Fri Dec 01 22:17:34 +0000 2017,lol they made me pay for an $8 trip the other day that had already been taken from my account weeks ago. Wonder if there's something going on.,"Hi, Nathan! Sorry for the trouble. Kindly send us a note here; and our team will follow-up.",142,91
UBER_0110,64309,64308,Thu Nov 30 08:10:09 +0000 2017,"iam RameshYadav from chennai,Tamilnadu,india my uber account is disabled. please active my account mobile number: 9884422856 mail id: __email__",We're here to help! Please send us a note via so we can connect.,143,64
UBER_0111,457818,457817,Fri Dec 01 00:38:26 +0000 2017,yo can your drivers wait more than a minute outside before canceling when ordering from a busy hotel?? Like what???,We’re here to help! Send us a note via and we'll be in touch.,115,61
UBER_0112,359865,359863,Sun Oct 08 16:31:29 +0000 2017,so sad I can’t open uber Account. Reply from Uber support attached. 😢😫🙄🤕😪,We're here to help! Send us a DM with your email address and more details so we can follow up.,73,94
UBER_0113,126424,126425,Fri Nov 24 05:33:59 +0000 2017,I have not got any help regarding this issue till now.,"We're happy to help, Jyotshna! A member of our team is looking into this matter and will reach out to you as soon as possible. Thank you for your continued patience.",54,165
UBER_0114,276577,276578,Fri Oct 06 08:05:58 +0000 2017,I know how to schedule. This was a pool ride.,We see your message and will be following up via DM.,45,52
UBER_0115,74882,74881,Thu Nov 30 11:00:34 +0000 2017,Thank you for hiring the most pathetic customer support of all time. I went from having a favourable opinion of thanks to the cab service to being disgusted towards within 1 transaction thanks to the indifference with which my complaint was treated,We're here to help! Send us a DM with your email address and more details so we can follow up.,248,94
UBER_0116,272757,272759,Fri Oct 06 04:10:25 +0000 2017,I contacted your support through the app before 6 p.m. It's now after midnight and still not a word from you guys.,We see your message and will be following up via DM.,114,52
UBER_0117,31991,31990,Wed Nov 01 12:21:35 +0000 2017,Why do drivers insist on trying to drop you off down the street from your drop off location????? 🙄,Here to help! Send us a note via to assist you further.,98,55
UBER_0118,311671,311669,Sat Oct 07 03:04:12 +0000 2017,Hi my driver dropped me off and texted me this picture?? I don't know what she means. I'd like to file a complaint.,"So sorry to hear that! For a specific concern, please send us a note at to let us know.",115,87
UBER_0119,143595,143593,Fri Nov 24 13:07:11 +0000 2017,"Your app is still finding me a ride, 45+ minutes later, yet somehow in the meantime I've been charged a cancellation fee?! Refund immediately please.",So sorry about that! Find out about our cancellation policy here;,149,65
UBER_0120,111001,111000,Thu Nov 23 18:00:29 +0000 2017,I will not publicly disclose my email or phone. If you give me an email for further communication I can respond directly.,"We completely understand, Mike. If you'd like, feel free to go ahead and DM us for a follow-up.",121,95
UBER_0121,384050,384049,Fri Oct 06 15:15:33 +0000 2017,my family and i just had the worst racists experience with one of your drivers. Please send your customer number!,Sorry to hear this! Will you please DM us with your email address associated with your account and the details of your experience?,113,130
UBER_0122,260547,260546,Thu Oct 05 20:19:40 +0000 2017,"Dear , just had two consecutive cars deny driving me into San Francisco from SFO. Are you guys out of business?",Oh no! Thanks for bringing this to our attention. DM us your account email along with details for assistance.,111,109
UBER_0123,95744,95743,Tue Nov 28 07:40:32 +0000 2017,Since last month you people not resolve my problem. Kindly look into matter. I can't book a ride,"Sorry for the delay! As stated earlier, support inquiries are responded to in the order received and we’ll follow up as soon as we can. Thank you for your patience.",96,164
UBER_0124,375595,375597,Mon Oct 09 03:58:23 +0000 2017,Right so when I click it it says enter email that the account is linked to and then says its sent the link to that email... I cannot get in,Please DM us with further details and we'll get a closer look!,139,62
UBER_0125,333673,333675,Sat Oct 07 20:03:48 +0000 2017,I just want a refund. The driver took the wrong food back so now i dont have anything,Did you have a chance to sign in and fill out the form we provided in previous message?,85,87
UBER_0126,237047,237046,Wed Oct 04 13:45:39 +0000 2017,- why can't I schedule a ride in San Francisco?,Hi! The schedule a ride option isn't available in all locations. For more info please visit;,47,92
UBER_0127,164267,164265,Fri Nov 24 19:53:51 +0000 2017,how do we complain if drivers keep cancelling rides. They need cash and not payment through e-wallet.,Here to help! Please contact us via so we can follow up.,101,56
UBER_0128,229016,229018,Thu Oct 05 14:41:23 +0000 2017,Just today I got a note saying the issue was fixed but I'm still unable to add a card to my account.,We're here to help! We just sent you a DM.,100,42
UBER_0129,485478,485477,Fri Dec 01 15:07:19 +0000 2017,how to improve customer experience if you have no chance to give feedback? 🤔#uber becoming a failure,Hi there! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,100,92
