original_id,customer_message,support_reply,intent,escalation,reply_keywords,ground_truth_notes
UBER_0063,"Instd of arvng at correct spot & phoning me 2 tell me of hs arvl, ur driver chooses 2 wait OUTSIDE hotel. Claims tht I ws not answrng my phone {absurd} sys tht he wil come into hotel, thn drives off. Hs nerve 2 chrge me fr a ride I didnt cancel! I demand a refundonprinciple","That's not ok, Priya. Contact us via so we can assist you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0064,Took to ORD today....driver charged me for his mileage back downtown after he dropped me off. Is this standard policy?,"We apologize for the trouble! Send us a note here, and our team will be in touch.",Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
UBER_0065,how do you manage to outdo the last bad experience! & For my simple but for me imp matter u cudnt help #failure,We've been in touch via DM!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0066,My drivers phone completely froze so I had to direct him. I finished my ride but his phone was restarting when I left. I better not be charged more.,Happy to take a look! Send us a note via so our team can connect.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0067,and also putting cheese in a burger and someone is severely allergic to dairy. Wow,"Hi, Lisa. We'll be following up via DM shortly.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0068,"Forgot glasses, the driver called to give them back and one week after he doesn't want to. Is it this kind of service you providing ?",So sorry about the trouble! Please send us a DM with your email address so we can connect.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
UBER_0069,"Driver picked up someone else, took them to the East Bay (how?) charged it to me - while leaving me waiting like a dick. Thoughts?",Here to help! Send us a note via and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0070,such unprofessional drivers you hire! The worst service I have ever had in recent times. Your driver was unprofessional and inturn I had to shell out money for it! Shame on you!,Here to help! Kindly send us a note at; so our team can assist.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
UBER_0071,"awful customer service, why bother trying to contact the head office?","Hi, Jenny! Kindly send us details regarding your concern so our team can assist.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0072,I've provided a complain. Now please take action.,We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0073,"Lol thanks but I meant the usage zone , I’m able to purchase it, but I can’t use it for my standard route because the usage area is like a foot away from my house","Sorry for the confusion. If you're reside that close to the Ride Pass zone, you can change the address (pickup/drop off) within the app. To confirm, you will see the upfront fare of the ride pass. For information how to change location, please visit",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0074,"so i get locked out of my account with no notification, HOW THE FUCK AM I SUPPOSE TO DO ANYTHING.","Here to help! Send us a note here, and our team will follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0075,follow back so I can DM,Happy to help! Please send us a DM with your account email address + details and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0076,Wow really glad I got a timely response. Thank you.,"Hey Chris, send us a DM with your email and phone number to connect.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0077,cannot upload documents. No help email address for uber,Hi there! Please visit; for more info. Please let us know if you have any other questions or concerns.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0078,How can I merge two emails which belong to two accounts to one account?,Here to help! Send us a note via and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0079,just charged £5 by you for a driver that sat 1 mile from the pick up point and wouldn't move #unhappy #takeablackcab #refundplease,We're here to help! Please send us a note via so we can assist.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0080,you driver asked me for toll bills. Can you have a look.,"We'll be happy to review this, Anush! Please reach out at and we'll take a look.",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0081,"I took a video of the driver surfing FB but don't want to post it here in public. Will send it to you thru the Uber app. Obviously you have work to do in training your drivers on traffic rules, safety and service!",Oh no! Sorry to hear that. Please send us a note in the app or by visiting us at We'll make sure to review this trip carefully and take appropriate action.,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
UBER_0082,I've sent a time-stamped photo of the license plate & location of this driver. You have my info. What else do you want? #visionzero,"Here to help, Will. A member of our team has followed up via DM.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0083,: My wife was harassed this morning by your driver. She was asked to leave the cab in the middle road on her way to work,"That's not okay, Mohit! Please have the account holder reach out to us at so we can follow up asap.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0084,I am still not getting any support I would really appreciate a refund for the food I never received,Let's take a further look into this. Please send us a DM with your email and phone number linked to your account.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0085,"I commented that my last TWO UberEATS orders were cancelled. said ""reach out in a DM, we will help..."" Their reply (summarising): ""sometimes we're busy and can't deliver your order."" This is NOT customer service! Act like you CARE, Uber!","Hi there! It appears that our team has followed up with you via email regarding this matter. If you have further questions or concerns, please reply to the email thread. We apologize for any inconvenience this may be causing you and appreciate your continued patience.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0086,The ride doesnt appear on the app to report because he cancelled the trip but I have screen shots.,We're here to help. We just sent you a DM.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0087,"Charged £100 cleaning fee for a mess we didn’t make 12 hours after our journey, no evidence to prove it was us shows pics which could be anything by anyone. complete bullshit replied with blatant PR automatic responses. Probably just a scam from the driver",We apologize for the trouble! Send us a DM with your email address and we'll connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0088,is the fuckin shittiest app that exists. I have ordered 5 Uber's tonight and they have all ignored my trip and charged me $5. Fuck you,Here to help! Please send us a note at and we'll be happy to look into this for you.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0089,hey i need a ride pass please thanks,We've followed up via DM. Please check your messages for an update.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0090,You call this a response? I see this as refusal to help a customer you troubled early on a working day. Horrible service.,"Hi, Rajat. A member of our team has been in touch via email, please check your inbox and follow up there directly.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0091,keeps getting my order wrong and there is no number to call customer service? #terrible I won't use this service again.,"Sorry for the trouble! Send us a note here, and our team will be in touch.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0092,Please help me with my Business travel report for June July & Aug. I haven't received for this duration. Thanks,"Sorry to hear about the troubles, Anuj. Please send us a note at so we can look into this for you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0093,"I Dm you, wasn’t tryna seem like a bitch it was just extra inconvenient that I had places to be and couldn’t get there with your services.","We're following up with you via DM, be on the look out for our response.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0094,I’m about to pack up my appetite and go Netflix & grill with .This last customer service exchange was trash...,We're here to help! Send us a DM with your email address and more details so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0095,how do I get in contact with the exchange program to get a vehicle??,Here to help! Send us a note via and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0096,No one contacted me till now....and also I am not able to ride using app .,"A member of our team has been in touch via email, so please check your inbox and follow up there directly",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0097,Hey is ok for your drivers to drive double the speed limit in 30mph zones?! Is it also ok for them to text when driving and take calls about cooking dinner? Always been a defender of your company but that drive just shattered your reputation,"Here to help! Send us a note here, and our team will follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0098,. shh I don't think we're allowed to talk to you... I'm sorry 😔,Happy to help! Please confirm your email address or phone number through direct message so we can further assist.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0099,To take advantage of people who are just trying to get away from danger is poor business all round. Shameful.,We're here to help! Please send us a note via so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0100,Drivers that just pretend to pick you up and essentially steal your money should be fired,"Happy to help, Thomas. Please go here so we can follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
