conversation_id,customer_message,intent,escalation,reply_keywords,ground_truth_notes
GOLDEN_054,pretty sure my Uber driver was drunk last night,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_055,A drunk driver just demolished my ... #HappyBirthday,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_056,in #delhi is ridiculously unpunctual & unprofessional. Multiple late arrivals & even a cancellation after waiting.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_057,Dear Your drivers are driving in circles. 1 cancelled after a 5min wait. The other is now taking a rendezvous...,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_058,"Thanks, how do I get a password do I need one.",Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_059,you can clearly see I was on destination. This is so ridiculous,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_060,Again its was showing 129 ripped and I charged 234 rupees. This is how you going to do fraud. Not going use Uber did not got the solution and again charged high,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_061,"thanks for promising to have instant pay fixed within a couple hours & not fixing it... you cost me $35 in overdraft fees cuz I filled my car with gas to make you money, expecting to be able to cover costs by the end of the day #FML",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_062,I've been requesting help for more than a week and I need to use #Uber account and I just can't sign in,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_063,you driver asked me for toll bills. Can you have a look.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_064,#UberSupport YOUR DRIVER CANCELLED ON ME A VIETNAM ERA VET WITH PHYSICAL LIMITATIONS USING A WALKER SO I HAD TO SIT IN THE STREET WHEN I WAS INSIDE FOR AN ADDITIONAL 15 MINUTES WHY DID YOU #GHARGE MY #CARD $5 #FIVE #DOLLARS FOR #NO SERVICE AND #TROUBLE,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_065,Hi. I have three random $1 charges from uber in my PayPal account. What are these for?,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_066,Wait why is Bryans Uber driver drunk. Went into the gas station for twenty minutes & has a beer in his cup holder???,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_067,can I get some help with my refund?,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_068,"Hey , Where's the member of your team who was supposed to reach out shortly?",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_069,Lost item in uber in san francisco - please follow back asap to dm,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_070,my uber has been driving in circles and doesn't know her way around the city. I just wanted to get to a store that's 10 min away from my school😓,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_071,I was charged a cancellation fee ? When we didn't confirm the booking of a taxi as my phone ran out ? Can I have refund?,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_072,"I still see zero payment at the end of each trip. I’m scared to take anymore rides and not get paid for it. And it’s so slow, there’s gotta be something wrong with that to! When will I see the payments and when will it get fixed! #Frustrated",Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_073,Wtf You've just charged me twice for one trip! What's going on? #DaylightRobbery,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_074,I've already contacted support and gone back and forth with messages. They refuse to give me a refund for a truly unacceptable journey.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_075,Dear uber i esakki driver&riderToday i bookedpool from dharavi police stn but thedriverdidn't reached&switched off his mobile and even i stand upto45mins in my location&Iwas so I'll that I can't stand more the driver cancelled the trip which was wrongly charged me,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_076,I hopped out my uber and 10 seconds later saw him crash lmao damn I coulda caught that claim money 😭😂,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_077,Love to know why there was a x3.9 surge on my last night. A journey under 5 miles should have not cost me £26.91,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_078,Aaaand our driver is lost. Can't wait for my cold soggy fries 👍🏼,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_079,I’m trying to sign in and it saying invalid password and it won’t send me a new password,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_080,I had an uber promo code in my account and it says it is still there. But it's not applying to the ride I'm trying to book.,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_081,"getting a ride from Trafalgar Square has been awful. Driver was 5 min away for 20 min then cancelled on us, as did the backup driver",Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_082,So charges 15$ to return a lost item!? You guys are fucking greedy man.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_083,I am still not getting any support I would really appreciate a refund for the food I never received,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_084,this is a joke. 45 mins is not a slight delay ffs,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_085,please tell what action u take against driver abusing passenger and not coming to location?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_086,"Need help, cannot get hold of driver, think I left my phone in the car",Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_087,. The driver behavior is in a downward spiral !,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_088,".I've been charged double, 806,the normal fare for my trip t'day Whereas estimated fare was 498.Toll charged thrice? Need explanation.",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_089,"Dear Team, We moved to US from India(Hyderabad)but still I receive the coupons with respect to Hyd.Pls do the needful",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_090,When your driver tries to cop an attitude @ 5am in Vegas..... no sir. Ain't nobody in the mood for all that.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_091,right i really want use to uber to get to work because taxi always overcharge i just dont know if my town supports uber round here but my journey to work is only 10 mins away,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_092,How can you guys afford to have such shitty drivers who do not have respect for customers He was going on a wrong route,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_093,Is there a problem with your system or something? Im trying to add a paypal account as a payment method but it keeps telling me to try again later.,Payment Failure,AUTO_HANDLE,"payment method, bank, update card, app settings, help",Card processing failure or bank decline handled via self-service payment update steps.
GOLDEN_094,You charged me a full ride for a cancelation fee. And your fucking app or website doesn't help. Where can I send an email?,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_095,I have again sent DM. waiting for response,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_096,"Ok opened two cases, however I'm now late for my appointment, my time is something that will never be refunded",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_097,Really! I’m part of Tallahasse! #UberEATS #uber,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_098,"Hi Uber, I slept thru my scheduled ride today. The driver cancelled, but I'd like to tip him. How can I do that?",Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_099,I have been charged $335 for a trip that usually costs me well under $30. Have tried getting help from you but no response,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_100,Australia how can an uber ride simply disappear? Should we be concerned for our safety? Does this happen often? I was picked and dropped off but noone at uber can find the fare? Hmmm......,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_101,"Dear Uber_Support Uber what the hell? Your driver cancel my trip and you charged me as cancellation rs 42 , 42 two times. Plse reverse",Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_102,YO Uber what’s up?? Even with surge pricing it shouldn’t be this high #flatfare #699,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_103,my account got locked because I cancelled too many ubers as I am in India and they were going the wrong way... please can you unlock me?,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_104,These pages don't seem to refer to codes handed out as compensation. Is there any other way I can resolve the issue?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_105,my ubereats promo code isn't working for others,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_106,received this gem via in Anaheim. Double checked for accuracy but I’m appalled this left the kitchen at all. Called and was told there was nothing you could do?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_107,just got charged for a trip that my driver cancelled what the hell,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_108,Will that let me change the rating?,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_109,is there a way to swap out my initial promo code for new customers? You have 2 weeks free delivery but says I can't use it.,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_110,how does Uber define a long pickup?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_111,Uber disables my account every fucking two days for dumbass reasons!!! 🖕🏽,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_112,I'm still waiting for your reply. Why this long ? I have bill and a family to take care of. I do not have the luxury for not doing anything.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_113,And then he asks me to cancel the ride even though it’s your fault and then charge me 5$. Freaking ridiculous service you provide.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_114,"Paymnt isue in app, I asked who routed 2GLH LHR who cudnt sort it out yet, going 2b 3weeks nw, can any1 resolve it?",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_115,just witnessed an experience with a rude driver who gave my the middle finger and kicked her out of his car.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_116,Then I go to use it to get somewhere for an emergency... low and behold there’s no credit,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_117,No charge but he was very rude,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_118,"I have already raised issue there and got a ""refund"" against next ride? Your cancellation policy never mentions that refund will be against next ride. I dont want to redi again so i want refund in my account.",Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_119,Watched and waited as my driver circled around the same block for 10 minutes Had to cancel the ride which cost me $2....,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_120,I clicked to use my credits when I ordered but I’ve been charged on my debit card #annoying,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_121,"just recieved our order, the drink was completely split over all our food and we were missing a whole meal, want a complete refund",Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_122,It would be nice if had a promo code for existing customers every once in a while.,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_123,I’ve sent a DM - please reply ASAP.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_124,hey i signed up for uber a long time ago but never got my first free ride. could you guys help me get the free ride?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
